County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Gaston,0.68,0.32,42444.00,43027.00,104242.00,0.62,0.37,50059.00,49704.00,128003.00,0.62,0.37,52055.00,49165.00,135695.00,0.64,0.32,54155.00,46090.00,142124.00,0.63,0.35,59738.00,42810.00,151667.00
Gates,0.47,0.52,1096.00,4756.00,6840.00,0.47,0.52,1493.00,5105.00,8118.00,0.48,0.52,1618.00,5100.00,8572.00,0.53,0.44,1731.00,4734.00,8636.00,0.56,0.43,1979.00,3933.00,8364.00
Graham,0.68,0.32,2819.00,2620.00,6335.00,0.68,0.30,2852.00,2573.00,6588.00,0.70,0.28,2824.00,2394.00,6649.00,0.79,0.18,2806.00,2013.00,6429.00,0.80,0.19,2915.00,1412.00,6081.00
Granville,0.51,0.49,5851.00,16574.00,25695.00,0.46,0.53,8019.00,20057.00,33674.00,0.47,0.52,8803.00,20302.00,36667.00,0.50,0.47,9226.00,19070.00,38011.00,0.53,0.46,10542.00,17566.00,39986.00
Greene,0.59,0.41,1488.00,7096.00,9455.00,0.53,0.47,1810.00,7635.00,10982.00,0.54,0.46,1948.00,7461.00,11472.00,0.54,0.45,2055.00,6756.00,11445.00,0.56,0.44,2459.00,5618.00,11388.00
Guilford,0.49,0.50,91885.00,131396.00,269740.00,0.40,0.59,104059.00,177861.00,355208.00,0.41,0.58,99706.00,176281.00,360777.00,0.38,0.58,95678.00,168654.00,364659.00,0.38,0.61,94405.00,168552.00,383792.00
Halifax,0.41,0.59,5100.00,26115.00,34866.00,0.36,0.64,4932.00,27826.00,37579.00,0.34,0.66,4993.00,26838.00,37750.00,0.36,0.63,4706.00,26128.00,38866.00,0.39,0.60,5067.00,23317.00,37958.00
Harnett,0.64,0.36,17188.00,26011.00,50886.00,0.58,0.41,21181.00,29481.00,62829.00,0.59,0.40,23204.00,28944.00,68349.00,0.60,0.36,25355.00,27022.00,73147.00,0.60,0.38,29776.00,26030.00,82298.00
Haywood,0.56,0.43,11685.00,21817.00,40631.00,0.53,0.45,12310.00,21092.00,42589.00,0.56,0.42,12556.00,19484.00,43123.00,0.62,0.34,13234.00,17399.00,44206.00,0.62,0.36,15811.00,14394.00,46445.00
Henderson,0.65,0.35,32285.00,18703.00,68372.00,0.60,0.39,32943.00,19899.00,77063.00,0.63,0.36,31999.00,18905.00,79072.00,0.62,0.34,31419.00,18305.00,82377.00,0.59,0.40,32632.00,17980.00,87557.00
Hertford,0.36,0.63,1832.00,11362.00,14154.00,0.29,0.70,1881.00,12013.00,15396.00,0.28,0.72,1511.00,11781.00,15221.00,0.30,0.68,1454.00,11220.00,15214.00,0.33,0.67,1569.00,10285.00,15048.00
Hoke,0.49,0.51,3494.00,12069.00,19103.00,0.40,0.59,5144.00,14099.00,25290.00,0.40,0.59,6254.00,15409.00,29700.00,0.43,0.53,6797.00,15381.00,32070.00,0.44,0.55,7405.00,14573.00,33233.00
Hyde,0.54,0.46,403.00,2697.00,3435.00,0.49,0.50,477.00,2735.00,3700.00,0.50,0.49,525.00,2464.00,3675.00,0.56,0.42,533.00,2051.00,3431.00,0.57,0.42,583.00,1541.00,3171.00
Iredell,0.68,0.32,34374.00,31167.00,80433.00,0.62,0.37,42242.00,35145.00,101703.00,0.65,0.34,45469.00,34322.00,110542.00,0.66,0.30,48593.00,31067.00,117248.00,0.65,0.33,54863.00,29274.00,130794.00
Jackson,0.52,0.48,6816.00,11471.00,23742.00,0.47,0.52,7377.00,12484.00,27423.00,0.49,0.48,7234.00,11497.00,28252.00,0.53,0.41,7535.00,10640.00,28812.00,0.53,0.45,8351.00,9620.00,29791.00
Johnston,0.68,0.32,29619.00,34594.00,77256.00,0.61,0.38,38332.00,40877.00,101224.00,0.63,0.36,41087.00,39128.00,107693.00,0.63,0.33,46555.00,38905.00,121690.00,0.61,0.37,55354.00,40600.00,143707.00
Jones,0.58,0.42,1080.00,4698.00,6559.00,0.54,0.45,1433.00,4635.00,7269.00,0.54,0.45,1617.00,4348.00,7545.00,0.58,0.40,1802.00,3799.00,7469.00,0.59,0.40,2156.00,3109.00,7398.00
Lee,0.61,0.39,8261.00,15724.00,29014.00,0.54,0.45,9434.00,16784.00,32861.00,0.54,0.45,10125.00,16332.00,34670.00,0.55,0.42,10121.00,14916.00,35272.00,0.57,0.42,11725.00,13844.00,38705.00
Lenoir,0.56,0.44,7884.00,22563.00,33873.00,0.50,0.50,8924.00,24001.00,38111.00,0.50,0.50,9633.00,23851.00,39981.00,0.51,0.47,9666.00,21897.00,39533.00,0.51,0.48,10338.00,18772.00,38541.00
Lincoln,0.68,0.32,17482.00,16900.00,42026.00,0.66,0.33,21166.00,17461.00,49879.00,0.69,0.30,22475.00,16329.00,53162.00,0.72,0.25,24062.00,14533.00,55588.00,0.72,0.26,29394.00,12433.00,62638.00
McDowell,0.63,0.37,9425.00,8806.00,23164.00,0.60,0.38,10203.00,8880.00,25279.00,0.64,0.34,10029.00,7938.00,25191.00,0.68,0.28,10303.00,6936.00,25732.00,0.69,0.30,11773.00,5870.00,27162.00
Macon,0.55,0.45,4006.00,7196.00,13529.00,0.50,0.48,4738.00,8029.00,16533.00,0.53,0.44,4685.00,7460.00,16644.00,0.60,0.35,4370.00,6797.00,16875.00,0.61,0.37,4723.00,5903.00,17264.00
Madison,0.51,0.49,3017.00,12032.00,16986.00,0.48,0.52,3044.00,12690.00,18222.00,0.47,0.52,3181.00,11843.00,17990.00,0.49,0.49,3351.00,10537.00,17318.00,0.52,0.47,3522.00,8938.00,16516.00
Martin,0.66,0.33,9069.00,11399.00,25128.00,0.63,0.36,10467.00,11977.00,29507.00,0.65,0.33,10327.00,10289.00,28888.00,0.73,0.23,10956.00,8798.00,29334.00,0.73,0.25,12660.00,6835.00,29898.00
Mecklenburg,0.48,0.52,154528.00,185734.00,434779.00,0.37,0.62,184745.00,286491.00,628068.00,0.38,0.61,181009.00,310187.00,676442.00,0.33,0.62,172094.00,315436.00,708197.00,0.32,0.67,170540.00,341357.00,792282.00
Mitchell,0.73,0.27,8250.00,1306.00,11642.00,0.70,0.28,7773.00,1436.00,11863.00,0.75,0.24,7425.00,1296.00,11701.00,0.78,0.20,6915.00,1197.00,11360.00,0.78,0.21,6650.00,1117.00,11139.00
Montgomery,0.57,0.43,4453.00,8709.00,15134.00,0.55,0.44,5031.00,8941.00,16865.00,0.57,0.42,4798.00,8367.00,16678.00,0.62,0.36,4911.00,7376.00,16346.00,0.65,0.34,5965.00,6241.00,17029.00
Moore,0.64,0.35,22426.00,16454.00,49017.00,0.60,0.39,25857.00,18957.00,60369.00,0.64,0.36,26846.00,18562.00,64144.00,0.63,0.34,26850.00,16843.00,65658.00,0.63,0.36,30843.00,16507.00,74033.00
Nash,0.58,0.42,19359.00,30551.00,55827.00,0.50,0.49,20413.00,35751.00,64752.00,0.49,0.50,19863.00,36704.00,68079.00,0.49,0.49,18896.00,34110.00,66664.00,0.49,0.50,19887.00,31971.00,68677.00
New Hanover,0.56,0.44,45204.00,46832.00,117773.00,0.50,0.49,50986.00,56391.00,146450.00,0.52,0.47,52460.00,56437.00,158689.00,0.49,0.46,53701.00,54900.00,169322.00,0.48,0.50,55122.00,52987.00,177353.00
Northampton,0.36,0.64,1118.00,11507.00,13802.00,0.35,0.65,1319.00,12315.00,15266.00,0.32,0.67,1390.00,12043.00,15495.00,0.36,0.62,1439.00,10871.00,14853.00,0.39,0.60,1531.00,9130.00,13939.00
Onslow,0.69,0.30,23583.00,27949.00,66033.00,0.60,0.39,30818.00,32213.00,86500.00,0.63,0.36,34260.00,32505.00,97253.00,0.65,0.31,37881.00,29431.00,105879.00,0.64,0.34,44518.00,26533.00,117223.00
Orange,0.32,0.67,19064.00,45119.00,83237.00,0.27,0.72,19980.00,55804.00,105535.00,0.28,0.70,19125.00,55712.00,111521.00,0.23,0.73,17338.00,54121.00,116159.00,0.24,0.75,15041.00,52559.00,111900.00
Pamlico,0.61,0.39,2310.00,4984.00,8648.00,0.57,0.42,2792.00,5127.00,9756.00,0.60,0.39,2884.00,4557.00,9650.00,0.62,0.36,3079.00,4040.00,9768.00,0.64,0.36,3699.00,3216.00,9774.00
Pasquotank,0.48,0.51,4784.00,13127.00,22835.00,0.43,0.56,6008.00,15547.00,28345.00,0.42,0.57,5831.00,15319.00,29317.00,0.47,0.50,5966.00,13564.00,28578.00,0.49,0.49,6964.00,11681.00,28723.00
Pender,0.59,0.41,8537.00,13099.00,25961.00,0.57,0.42,11652.00,14666.00,33805.00,0.60,0.39,12795.00,13997.00,36158.00,0.63,0.34,14822.00,13094.00,40026.00,0.64,0.34,17791.00,11889.00,44958.00
Perquimans,0.60,0.40,1794.00,4492.00,7784.00,0.57,0.43,2214.00,4834.00,9397.00,0.57,0.41,2432.00,4770.00,9969.00,0.62,0.35,2671.00,4296.00,10186.00,0.66,0.33,3137.00,3265.00,9760.00
Person,0.59,0.41,4747.00,11964.00,19494.00,0.54,0.45,6008.00,14051.00,25039.00,0.55,0.44,6186.00,13731.00,26362.00,0.57,0.40,6637.00,12461.00,26886.00,0.60,0.39,7704.00,11205.00,27784.00
Pitt,0.53,0.46,24486.00,46714.00,84778.00,0.45,0.54,29409.00,57254.00,107463.00,0.46,0.53,30119.00,58842.00,115877.00,0.44,0.52,31605.00,57147.00,122399.00,0.45,0.54,31597.00,53030.00,123553.00
Polk,0.57,0.42,5983.00,5598.00,15245.00,0.57,0.42,5552.00,5095.00,15119.00,0.60,0.39,5346.00,4876.00,15271.00,0.62,0.34,5588.00,4622.00,16058.00,0.62,0.37,6081.00,4047.00,16488.00
Randolph,0.74,0.25,39056.00,21620.00,73478.00,0.70,0.28,43515.00,23341.00,85703.00,0.74,0.24,45557.00,22545.00,91467.00,0.77,0.20,46094.00,20127.00,92733.00,0.78,0.21,49442.00,17192.00,94919.00
Richmond,0.48,0.52,5203.00,20938.00,29743.00,0.49,0.50,5174.00,20048.00,29974.00,0.48,0.51,5405.00,19525.00,31021.00,0.54,0.44,5752.00,17395.00,30643.00,0.57,0.42,6908.00,13935.00,29392.00
Robeson,0.47,0.53,7274.00,56516.00,69772.00,0.43,0.56,7866.00,54522.00,71580.00,0.41,0.58,8586.00,54136.00,75240.00,0.51,0.47,9559.00,50748.00,75920.00,0.59,0.40,11987.00,42688.00,76791.00
Rockingham,0.61,0.39,16098.00,27530.00,52629.00,0.57,0.42,18599.00,29293.00,59967.00,0.60,0.39,19653.00,27392.00,60864.00,0.63,0.34,20649.00,23935.00,60613.00,0.65,0.33,23254.00,20223.00,61624.00
Rowan,0.67,0.32,34324.00,30766.00,79492.00,0.61,0.38,37289.00,33657.00,90395.00,0.62,0.36,38151.00,32206.00,93641.00,0.67,0.30,38339.00,29131.00,94938.00,0.67,0.31,41365.00,25438.00,97444.00
Rutherford,0.66,0.33,12445.00,18789.00,38107.00,0.65,0.34,14446.00,19378.00,42871.00,0.66,0.33,14824.00,17932.00,43816.00,0.72,0.25,16352.00,15855.00,44973.00,0.72,0.27,19054.00,12176.00,45949.00
Sampson,0.57,0.43,12280.00,17408.00,32815.00,0.54,0.45,13195.00,19081.00,36999.00,0.55,0.44,13484.00,18473.00,37763.00,0.57,0.41,13691.00,16728.00,37757.00,0.61,0.38,14887.00,14580.00,38096.00
Scotland,0.45,0.55,3347.00,13123.00,19519.00,0.42,0.57,3983.00,14698.00,23079.00,0.41,0.58,3621.00,14274.00,23064.00,0.45,0.53,3719.00,13345.00,22960.00,0.51,0.49,4232.00,11214.00,22041.00
Stanly,0.70,0.30,14873.00,13918.00,34866.00,0.68,0.31,16818.00,14397.00,39069.00,0.69,0.29,17299.00,13668.00,40334.00,0.73,0.24,17804.00,11594.00,40777.00,0.75,0.24,20135.00,9629.00,42963.00
Stokes,0.70,0.30,13388.00,10525.00,27496.00,0.67,0.32,14491.00,10717.00,30673.00,0.70,0.28,14740.00,9422.00,30955.00,0.76,0.21,15096.00,8197.00,31372.00,0.78,0.21,16480.00,6317.00,31796.00
Surry,0.68,0.32,16198.00,18675.00,41626.00,0.63,0.36,17947.00,19034.00,45872.00,0.68,0.31,17888.00,16872.00,44704.00,0.74,0.23,18968.00,14652.00,45660.00,0.75,0.24,21410.00,11422.00,47194.00
Swain,0.51,0.48,2854.00,5600.00,10746.00,0.50,0.48,2610.00,4648.00,9914.00,0.52,0.46,2631.00,4453.00,10190.00,0.58,0.36,2678.00,4171.00,10564.00,0.59,0.39,2939.00,3398.00,10090.00
Transylvania,0.60,0.39,8842.00,8484.00,22529.00,0.56,0.43,8781.00,8163.00,23549.00,0.57,0.41,8457.00,7666.00,24266.00,0.59,0.37,8277.00,7058.00,25546.00,0.57,0.41,8687.00,6345.00,26513.00
Tyrrell,0.54,0.46,209.00,1875.00,2376.00,0.50,0.49,304.00,1912.00,2672.00,0.52,0.47,315.00,1718.00,2574.00,0.56,0.41,347.00,1473.00,2484.00,0.57,0.42,424.00,1177.00,2371.00
Union,0.70,0.29,37123.00,28788.00,82298.00,0.63,0.36,53301.00,38419.00,120558.00,0.65,0.34,58778.00,39716.00,135775.00,0.63,0.32,63308.00,39818.00,150700.00,0.61,0.37,69029.00,40412.00,168233.00
Vance,0.44,0.56,3835.00,18218.00,24664.00,0.37,0.63,4188.00,21668.00,29747.00,0.36,0.64,4292.00,21548.00,30719.00,0.37,0.61,4406.00,20162.00,30180.00,0.40,0.59,4883.00,18346.00,29702.00
Wake,0.51,0.49,153577.00,180095.00,428477.00,0.42,0.57,184266.00,252858.00,593045.00,0.44,0.55,189713.00,263708.00,653966.00,0.37,0.57,188944.00,265858.00,704940.00,0.36,0.62,188855.00,291512.00,794495.00
Warren,0.35,0.64,1444.00,10733.00,13326.00,0.31,0.69,1740.00,11238.00,14637.00,0.31,0.69,1665.00,10064.00,13678.00,0.33,0.65,1760.00,9567.00,13707.00,0.36,0.62,2158.00,8641.00,13531.00
Washington,0.45,0.54,1152.00,6739.00,8617.00,0.41,0.58,1107.00,6890.00,9074.00,0.40,0.59,1167.00,6643.00,9171.00,0.42,0.57,1108.00,5943.00,8727.00,0.45,0.55,1293.00,5202.00,8316.00
Watauga,0.53,0.47,14937.00,12884.00,37844.00,0.47,0.51,15519.00,14033.00,43467.00,0.50,0.47,14908.00,13000.00,44776.00,0.46,0.47,14282.00,12591.00,46172.00,0.45,0.53,13289.00,12022.00,45166.00
Wayne,0.62,0.38,19208.00,30980.00,58270.00,0.54,0.45,21989.00,35395.00,69525.00,0.54,0.45,23726.00,36205.00,74851.00,0.54,0.43,24295.00,33504.00,76147.00,0.55,0.44,25426.00,30058.00,76192.00
Wilkes,0.71,0.29,21205.00,12090.00,38871.00,0.68,0.30,22078.00,12571.00,42252.00,0.70,0.28,21803.00,11632.00,42406.00,0.76,0.21,22028.00,10353.00,42923.00,0.78,0.21,23617.00,8229.00,43934.00
Wilson,0.53,0.47,12864.00,27417.00,45308.00,0.48,0.52,14059.00,31562.00,53102.00,0.46,0.53,13975.00,31735.00,56128.00,0.46,0.52,13903.00,30202.00,56521.00,0.48,0.51,14066.00,27794.00,57018.00
Yadkin,0.77,0.23,13318.00,5128.00,22016.00,0.72,0.26,13586.00,5392.00,23535.00,0.75,0.24,13583.00,5119.00,24163.00,0.79,0.18,13396.00,4300.00,24113.00,0.80,0.19,14061.00,3532.00,24725.00
Yancey,0.52,0.47,4796.00,6046.00,12606.00,0.52,0.46,5355.00,6586.00,14477.00,0.56,0.42,5254.00,6237.00,14646.00,0.64,0.32,4916.00,5290.00,13959.00,0.66,0.32,5283.00,4435.00,14170.00
