County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Franklin,0.59,0.4,1197,5919,7684,0.63,0.35,1505,5691,7767,0.65,0.34,1722,4865,7281,0.69,0.29,2282,4184,7420,0.68,0.31,3475,3649,8491
Gadsden,0.3,0.7,2911,22496,27207,0.3,0.69,3902,24323,30343,0.29,0.7,4096,23259,29702,0.3,0.68,4492,22465,29624,0.31,0.68,5440,22525,31364
Gilchrist,0.7,0.29,2747,5337,9163,0.72,0.26,4050,5395,10805,0.75,0.24,5216,4335,11140,0.8,0.17,6152,3570,11472,0.81,0.18,7712,2844,12653
Glades,0.58,0.41,1608,4206,6586,0.58,0.41,1824,3899,6604,0.59,0.4,1988,3604,6648,0.69,0.29,2370,3100,6645,0.73,0.27,3420,2323,7139
Gulf,0.66,0.33,2528,6460,9682,0.69,0.3,2885,5672,9244,0.7,0.28,3311,4983,9116,0.73,0.24,4647,4341,10231,0.75,0.24,5852,3220,10497
Hamilton,0.55,0.45,1108,6048,7695,0.57,0.42,1425,5679,7787,0.58,0.41,1853,5292,7973,0.63,0.35,2304,4786,8101,0.65,0.34,3193,3822,8150
Hardee,0.7,0.3,2707,6697,10538,0.64,0.35,3756,6740,11869,0.65,0.34,4478,6156,12402,0.69,0.28,5024,4687,11730,0.72,0.27,6448,4042,13145
Hendry,0.59,0.41,5191,9666,17097,0.53,0.46,5472,9278,17055,0.52,0.47,5645,8930,17335,0.56,0.42,6166,8236,17585,0.61,0.38,7812,7748,19443
Hernando,0.53,0.46,45025,42760,110383,0.51,0.48,49171,48179,123636,0.54,0.45,49169,45273,123874,0.63,0.34,53472,43235,131501,0.65,0.34,64233,43456,147746
Highlands,0.62,0.37,26563,24112,60690,0.58,0.4,28785,26613,66510,0.61,0.38,27475,23381,62401,0.65,0.33,28132,20349,62152,0.67,0.32,31957,18976,67193
Hillsborough,0.53,0.46,210582,262878,631982,0.46,0.53,232123,301505,697772,0.46,0.53,247654,313437,759073,0.45,0.52,268591,337632,854189,0.46,0.53,297299,371443,950132
Holmes,0.77,0.22,2308,8036,11103,0.82,0.17,3288,7407,11613,0.83,0.15,4149,6282,11597,0.88,0.1,6004,4040,11294,0.89,0.1,7511,2631,11645
Indian River,0.6,0.39,41451,24756,82432,0.57,0.42,44276,28336,91187,0.61,0.38,44636,27217,94309,0.61,0.36,49873,29323,107252,0.6,0.39,58794,34440,125551
Jackson,0.61,0.38,5900,19084,26591,0.64,0.36,7170,19335,28542,0.64,0.35,8475,17900,29126,0.68,0.3,10148,15834,29090,0.69,0.3,14143,12544,30155
Jefferson,0.44,0.55,1864,6724,9312,0.48,0.51,2211,7238,10284,0.49,0.5,2420,6251,9519,0.51,0.46,2738,5736,9493,0.53,0.46,3847,5148,10231
Lafayette,0.74,0.25,562,3562,4318,0.79,0.19,909,3334,4476,0.78,0.2,1233,3083,4579,0.83,0.15,1528,2629,4468,0.85,0.14,3052,1197,4606
Lake,0.6,0.39,75236,55900,163498,0.56,0.43,85394,67321,191087,0.58,0.41,89785,68182,203467,0.6,0.37,98091,70313,224326,0.6,0.4,117356,78957,267068
Lee,0.6,0.39,146633,148042,312710,0.55,0.44,154767,106873,342597,0.58,0.41,170827,115940,392465,0.59,0.38,187428,118344,429440,0.59,0.4,214228,134673,497273
Leon,0.38,0.62,45737,46110,172514,0.37,0.62,48491,103587,180115,0.38,0.61,52818,104999,193142,0.35,0.61,57800,110240,208396,0.35,0.63,58577,117340,220475
Levy,0.63,0.36,6284,6343,22876,0.63,0.36,8083,14181,26247,0.65,0.33,10405,10661,25429,0.71,0.26,12350,9506,27036,0.72,0.27,15742,8787,30549
Liberty,0.64,0.35,322,334,4083,0.71,0.27,334,3816,4318,0.7,0.29,457,3716,4420,0.77,0.2,734,3397,4504,0.8,0.19,1665,2483,4616
Madison,0.5,0.49,1666,1716,11414,0.51,0.48,2180,8880,11967,0.51,0.48,2619,8245,12065,0.57,0.41,3257,7177,11667,0.59,0.4,4427,6265,12121
Manatee,0.57,0.43,85068,85524,193634,0.53,0.46,89380,70710,208600,0.56,0.43,90425,68798,211282,0.57,0.4,101168,71921,233002,0.57,0.41,119045,83246,273980
Marion,0.58,0.41,79704,80732,186844,0.55,0.44,89952,86308,216465,0.58,0.41,95404,82313,222871,0.62,0.36,100369,76350,225827,0.62,0.37,122651,84166,267579
Martin,0.57,0.42,51889,51969,99222,0.56,0.43,50662,29574,101937,0.61,0.38,51696,27070,102045,0.62,0.35,55627,28107,111505,0.62,0.37,59183,30502,119599
Miami-Dade,0.47,0.53,368334,373381,1075976,0.42,0.58,384875,562474,1258043,0.38,0.62,379581,578889,1324439,0.34,0.64,375101,594608,1397346,0.46,0.53,435296,636105,1578934
Monroe,0.49,0.5,19977,20137,52167,0.47,0.52,19457,18772,51751,0.49,0.5,19503,17997,52652,0.52,0.45,21318,18127,55594,0.53,0.45,23972,18927,58134
Nassau,0.73,0.26,20427,20670,41955,0.71,0.28,25199,15750,48208,0.74,0.25,28522,14450,52268,0.74,0.23,35311,13875,61464,0.72,0.26,42544,15117,73239
Okaloosa,0.78,0.22,73037,73422,128362,0.72,0.27,75465,31587,131053,0.74,0.25,75951,28036,130626,0.71,0.24,79251,26602,137129,0.68,0.29,86422,29689,152901
Okeechobee,0.57,0.42,5542,5541,18649,0.59,0.4,6134,10327,19074,0.59,0.39,7115,8847,19267,0.69,0.29,8492,7705,20209,0.72,0.27,11044,6879,22629
Orange,0.5,0.5,187034,187676,535832,0.4,0.59,193493,275265,621335,0.4,0.59,204768,299092,697160,0.35,0.6,214519,335279,786206,0.38,0.61,225631,381303,881144
Osceola,0.52,0.47,42585,42879,130913,0.4,0.59,41716,63525,143518,0.37,0.62,44082,72898,166927,0.36,0.61,47709,87695,200330,0.43,0.56,56822,102614,245714
Palm Beach,0.39,0.6,238475,239452,751629,0.38,0.61,247466,385313,837174,0.41,0.58,249328,388214,874076,0.41,0.57,255740,385251,905268,0.43,0.56,293425,427857,1023119
Pasco,0.54,0.44,106986,107572,268252,0.51,0.48,116047,111163,298104,0.52,0.46,121021,108379,311988,0.59,0.37,131650,108134,338740,0.59,0.39,160742,118401,397370
Pinellas,0.5,0.5,231883,232882,595533,0.45,0.53,238430,251908,647716,0.46,0.52,226796,235138,630824,0.49,0.47,232349,233999,653655,0.49,0.49,252028,256087,715422
Polk,0.59,0.41,122938,122950,316851,0.53,0.46,125451,142275,336125,0.53,0.46,131503,140744,353349,0.55,0.41,146961,150617,410415,0.57,0.42,174746,162891,476015
Putnam,0.59,0.4,12718,12908,45691,0.59,0.4,13964,25994,46934,0.62,0.37,14521,22388,44192,0.67,0.3,18094,20433,47756,0.7,0.29,23377,17352,51103
St. Johns,0.69,0.31,59403,31403,96270,0.65,0.34,61187,28462,108081,0.68,0.31,67225,27177,117554,0.74,0.21,76847,26486,131878,0.72,0.26,86637,27312,147341
St. Lucie,0.48,0.52,115703,116500,243675,0.43,0.56,118282,86593,263232,0.46,0.53,122150,88514,279074,0.54,0.43,130160,92854,303513,0.55,0.44,145828,106037,341879
Santa Rosa,0.77,0.22,108017,108511,243583,0.73,0.26,108919,91844,264251,0.76,0.23,111129,95022,279723,0.49,0.47,112290,99140,294508,0.48,0.51,119463,117697,339490
Sarasota,0.54,0.45,59175,59403,111385,0.5,0.49,70370,36802,133332,0.53,0.46,81399,38992,153593,0.65,0.32,92419,41021,174440,0.63,0.36,112629,52408,212855
Seminole,0.58,0.41,50597,50994,139578,0.51,0.48,52851,71398,160367,0.53,0.46,56245,75758,176449,0.5,0.47,62927,79075,195707,0.5,0.49,76179,89217,227545
Sumter,0.62,0.36,17593,17773,40811,0.63,0.36,28246,21569,60584,0.67,0.32,36968,22928,74240,0.69,0.3,49088,23545,92527,0.68,0.32,60462,25175,106927
Suwannee,0.71,0.29,5905,5979,22116,0.71,0.28,7706,14380,24909,0.72,0.27,9053,12594,25117,0.76,0.21,11396,10911,26493,0.78,0.21,14909,8485,27983
Taylor,0.64,0.36,2189,8705,11524,0.69,0.3,3015,9202,13169,0.68,0.3,3417,8242,12711,0.75,0.23,4264,6960,12403,0.76,0.23,6576,4959,12947
Union,0.73,0.27,1301,1320,7088,0.74,0.25,1991,4806,7327,0.74,0.25,2389,4336,7350,0.8,0.18,3029,3488,7284,0.82,0.17,4469,2532,7830
Volusia,0.49,0.5,111522,111899,311654,0.47,0.52,112444,135078,330735,0.5,0.49,114832,128991,335734,0.55,0.42,128666,129448,365815,0.56,0.42,152559,132750,404466
Wakulla,0.58,0.42,3725,3793,15495,0.62,0.37,5270,11261,18700,0.63,0.35,6051,9783,18524,0.68,0.28,7900,8784,20098,0.7,0.29,11066,7727,23060
Walton,0.73,0.26,16485,16650,33215,0.72,0.26,19944,11818,37492,0.75,0.23,21860,10245,39128,0.77,0.2,27661,9837,47005,0.75,0.24,35754,10664,58759
Washington,0.71,0.28,3694,3693,14434,0.73,0.26,5175,9377,16132,0.73,0.26,6024,7070,14734,0.77,0.2,7612,5597,15239,0.8,0.19,9686,4782,17270
