County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Lackawanna,0.42,0.56,46882.00,96804.00,154464.00,0.37,0.63,42863.00,102308.00,157311.00,0.36,0.63,39358.00,96959.00,149474.00,0.47,0.50,42553.00,91046.00,148104.00,0.45,0.54,47059.00,85956.00,149389.00
Lancaster,0.66,0.34,184852.00,82172.00,312878.00,0.55,0.44,176176.00,104120.00,326501.00,0.59,0.40,167063.00,100056.00,314567.00,0.57,0.38,174365.00,108172.00,335791.00,0.57,0.41,181333.00,115332.00,354296.00
Lawrence,0.51,0.49,21995.00,32881.00,59650.00,0.52,0.47,22494.00,34704.00,62460.00,0.54,0.45,22762.00,32946.00,61709.00,0.62,0.34,23368.00,27516.00,57049.00,0.64,0.35,26566.00,24190.00,57467.00
Lebanon,0.67,0.33,42980.00,21307.00,73618.00,0.59,0.40,44256.00,27659.00,82440.00,0.63,0.35,43943.00,26470.00,81476.00,0.66,0.31,47199.00,27298.00,86878.00,0.65,0.33,50937.00,27645.00,92641.00
Lehigh,0.48,0.51,79364.00,88149.00,197797.00,0.42,0.57,77730.00,112162.00,224029.00,0.45,0.53,76493.00,112948.00,226453.00,0.46,0.51,80623.00,115745.00,236081.00,0.46,0.53,85499.00,119239.00,249387.00
Luzerne,0.48,0.51,75529.00,120420.00,213120.00,0.45,0.54,61080.00,111329.00,187851.00,0.47,0.52,63942.00,110911.00,194137.00,0.58,0.39,74116.00,108055.00,205332.00,0.57,0.42,86369.00,106361.00,220888.00
Lycoming,0.68,0.31,37261.00,24756.00,69433.00,0.62,0.37,36915.00,27105.00,72330.00,0.66,0.33,35400.00,24055.00,68064.00,0.70,0.26,38125.00,22442.00,69764.00,0.70,0.29,42871.00,20996.00,73766.00
McKean,0.63,0.36,16368.00,8634.00,27959.00,0.58,0.41,15385.00,9076.00,27493.00,0.63,0.35,14377.00,8262.00,25861.00,0.71,0.25,14198.00,7312.00,24911.00,0.72,0.26,15780.00,6509.00,25849.00
Mercer,0.51,0.48,31626.00,36745.00,76073.00,0.49,0.49,32104.00,39957.00,80919.00,0.51,0.48,30346.00,35897.00,75238.00,0.60,0.36,33047.00,34096.00,77265.00,0.62,0.36,35758.00,29345.00,74934.00
Mifflin,0.70,0.29,14883.00,9293.00,26523.00,0.66,0.33,14039.00,9071.00,25419.00,0.73,0.26,13999.00,8059.00,24445.00,0.76,0.21,15559.00,7599.00,25933.00,0.78,0.21,17703.00,6652.00,27361.00
Monroe,0.50,0.50,39271.00,40959.00,98784.00,0.41,0.58,38903.00,53795.00,113942.00,0.43,0.56,35579.00,52101.00,108879.00,0.48,0.49,36339.00,51884.00,109247.00,0.46,0.53,40395.00,54511.00,118300.00
Montgomery,0.44,0.56,268755.00,214233.00,564958.00,0.39,0.60,239515.00,263633.00,584396.00,0.42,0.57,214321.00,253481.00,551105.00,0.37,0.59,215777.00,272287.00,577418.00,0.36,0.63,211868.00,301803.00,609195.00
Montour,0.64,0.35,5871.00,4428.00,11787.00,0.57,0.42,5944.00,5071.00,12687.00,0.59,0.39,6325.00,5159.00,13518.00,0.62,0.33,6295.00,4742.00,13098.00,0.60,0.39,6914.00,4813.00,14017.00
Northampton,0.49,0.50,67193.00,83694.00,178699.00,0.43,0.56,70301.00,103851.00,208520.00,0.47,0.52,70439.00,101458.00,209414.00,0.50,0.46,73473.00,99075.00,211402.00,0.49,0.50,81395.00,102476.00,227433.00
Northumberland,0.60,0.39,24901.00,22958.00,51933.00,0.56,0.42,24761.00,24112.00,53974.00,0.59,0.39,25532.00,23221.00,54978.00,0.69,0.27,27678.00,21711.00,56496.00,0.68,0.30,30468.00,19167.00,57619.00
Perry,0.72,0.28,17196.00,7004.00,27282.00,0.66,0.32,17028.00,7957.00,28066.00,0.69,0.30,16746.00,7339.00,27245.00,0.74,0.22,18045.00,7177.00,28727.00,0.74,0.24,19673.00,6590.00,30034.00
Philadelphia,0.19,0.80,175434.00,796033.00,1062439.00,0.16,0.83,147068.00,880681.00,1126760.00,0.14,0.85,132571.00,856144.00,1099197.00,0.15,0.83,125557.00,853091.00,1102560.00,0.18,0.81,130566.00,856949.00,1129283.00
Pike,0.58,0.41,18488.00,12762.00,38225.00,0.52,0.47,20091.00,16969.00,45761.00,0.55,0.44,17842.00,15397.00,41840.00,0.62,0.35,17802.00,13972.00,40087.00,0.59,0.40,20343.00,14847.00,44669.00
Potter,0.71,0.28,7341.00,3736.00,12046.00,0.68,0.31,6816.00,3663.00,11408.00,0.72,0.26,6692.00,3217.00,10913.00,0.80,0.17,7051.00,2844.00,11005.00,0.80,0.19,7755.00,2305.00,11310.00
Schuylkill,0.55,0.45,47213.00,36200.00,91571.00,0.54,0.45,45052.00,40090.00,94105.00,0.56,0.43,40800.00,36540.00,86316.00,0.70,0.27,43996.00,33846.00,87989.00,0.69,0.29,48777.00,30140.00,90422.00
Snyder,0.71,0.29,13689.00,5034.00,20844.00,0.64,0.35,13797.00,5970.00,22207.00,0.67,0.31,13324.00,5658.00,21573.00,0.72,0.24,13863.00,5587.00,22264.00,0.73,0.26,15390.00,5378.00,23708.00
Somerset,0.65,0.35,25987.00,22487.00,52172.00,0.62,0.37,26254.00,23138.00,53527.00,0.71,0.28,26140.00,21158.00,51860.00,0.77,0.21,27363.00,17611.00,49693.00,0.78,0.21,30659.00,13789.00,49285.00
Sullivan,0.63,0.37,2528.00,1699.00,4578.00,0.59,0.40,2425.00,1787.00,4588.00,0.63,0.35,2266.00,1613.00,4242.00,0.73,0.24,2422.00,1526.00,4404.00,0.73,0.26,2588.00,1286.00,4329.00
Susquehanna,0.61,0.39,15467.00,8561.00,26774.00,0.55,0.43,15502.00,10064.00,28790.00,0.60,0.38,14205.00,8750.00,26163.00,0.68,0.27,15002.00,8035.00,26373.00,0.70,0.29,16353.00,7268.00,27212.00
Tioga,0.68,0.31,17071.00,7594.00,27239.00,0.63,0.36,16261.00,8516.00,27771.00,0.67,0.32,15139.00,7551.00,26001.00,0.74,0.21,15892.00,7183.00,26592.00,0.75,0.24,17377.00,6033.00,26918.00
Union,0.64,0.35,12741.00,6260.00,22075.00,0.57,0.42,12874.00,8159.00,24508.00,0.61,0.38,12411.00,7461.00,23950.00,0.61,0.35,12910.00,7625.00,24669.00,0.61,0.37,14046.00,7902.00,26259.00
Venango,0.61,0.38,19774.00,13756.00,37356.00,0.59,0.40,17663.00,13363.00,34694.00,0.62,0.36,16973.00,12056.00,32773.00,0.69,0.27,17516.00,11081.00,32655.00,0.70,0.29,19276.00,9736.00,33296.00
Warren,0.57,0.42,14577.00,10604.00,28508.00,0.52,0.46,13649.00,11465.00,28487.00,0.58,0.40,13993.00,11106.00,29111.00,0.68,0.28,15118.00,10502.00,30146.00,0.69,0.29,16761.00,9698.00,31431.00
Washington,0.50,0.50,47351.00,88941.00,149716.00,0.52,0.47,49011.00,89034.00,152517.00,0.56,0.43,49252.00,77923.00,142331.00,0.61,0.36,55307.00,68026.00,138835.00,0.61,0.38,68212.00,67037.00,154007.00
Wayne,0.62,0.37,17488.00,8669.00,30064.00,0.56,0.43,17191.00,10608.00,32068.00,0.60,0.39,17109.00,10512.00,32577.00,0.68,0.29,18116.00,10152.00,33683.00,0.66,0.33,20058.00,9982.00,35705.00
Westmoreland,0.56,0.44,88727.00,142979.00,256365.00,0.58,0.41,87761.00,136953.00,249140.00,0.61,0.38,90032.00,122432.00,238006.00,0.64,0.33,103853.00,113582.00,246020.00,0.64,0.35,119733.00,103415.00,253836.00
Wyoming,0.61,0.39,10909.00,6102.00,18997.00,0.53,0.46,10366.00,6922.00,19253.00,0.55,0.43,9340.00,5979.00,17255.00,0.67,0.29,9592.00,5350.00,16865.00,0.67,0.32,10861.00,5353.00,18342.00
York,0.64,0.36,136667.00,89646.00,264134.00,0.56,0.43,143261.00,112209.00,299414.00,0.60,0.39,135972.00,101786.00,280280.00,0.62,0.33,147452.00,102563.00,295895.00,0.62,0.37,159898.00,101536.00,311108.00
